Epoch,Loss,Accuracy,Recall,Precision
59,0.06677918609948044,0.9530605480259281,0.9721175375712956,0.9363633943073195
60,0.06553715564999808,0.9539951016499706,0.9728452389692387,0.9377758905903063
61,0.06456566953021832,0.9550125220978197,0.9740913069516746,0.9382338063416842
62,0.063967826398174,0.9559516794342958,0.9746325731398295,0.9394690328368284
63,0.06288904354325293,0.9570980038302888,0.9753273096072285,0.9409127700641305
64,0.0626360058213831,0.9567757439599293,0.9760889388315265,0.939760211411241
65,0.06166093045591644,0.958097009428403,0.9757546179487652,0.9424640233381362
66,0.060866741985341616,0.958474513847967,0.9762385735764821,0.9426072551412107
67,0.06067102804040128,0.9590914113140837,0.976953437663879,0.9433147669429417
68,0.060223186396116526,0.9597497421921037,0.9769076397225251,0.9448462288398476
69,0.059682709667440235,0.9600213612256924,0.9765531688135095,0.9454555158243049
70,0.05927470848547007,0.9605876178550383,0.9781664232497088,0.9446611735509155
71,0.058971497248184256,0.961315004419564,0.9781471676183272,0.9461596116782068
72,0.05867592612351191,0.9614162860931055,0.9780406647547614,0.9466880199297122
73,0.058252320982760675,0.9616464717147908,0.9780621234905025,0.9468349230164684
74,0.0580598707758932,0.9614531157925751,0.9781347159819542,0.9464132685853032
75,0.057996401741045936,0.9620746169711255,0.9785404577913447,0.9476496959474455
76,0.05740296450627653,0.9624198954036535,0.9795581992799329,0.9470905594530109
77,0.05731381939350028,0.96159583087802,0.978917766422821,0.9462715207078514
78,0.05682067794018677,0.9622771803182086,0.9786860050984254,0.9476221451930531
79,0.05673086124936289,0.9628572480848556,0.9790668975171296,0.9483078514976897
80,0.056645232897300696,0.9634603344136712,0.9798793678729879,0.9490229849341703
81,0.05644541817293016,0.9628572480848556,0.9792023421532343,0.9482116111546965
82,0.056340992926749586,0.963824027695934,0.9805037750944923,0.9489306407255444
83,0.05611484908559303,0.9625073659398939,0.9792242491247466,0.9475012034874392
